iter	Passed	Remaining
0	158	157996
1	162	81284
2	166	55197
3	168	41994
4	171	34090
5	173	28750
6	176	24968
7	179	22247
8	184	20287
9	191	18938
10	198	17840
11	204	16875
12	211	16055
13	217	15336
14	223	14689
15	229	14119
16	235	13605
17	240	13123
18	246	12707
19	251	12312
20	256	11974
21	262	11656
22	267	11364
23	272	11085
24	277	10805
25	281	10534
26	286	10330
27	290	10071
28	293	9832
29	297	9633
30	302	9458
31	306	9272
32	310	9097
33	314	8933
34	318	8788
35	322	8645
36	327	8515
37	329	8343
38	332	8204
39	336	8072
40	339	7949
41	343	7826
42	346	7715
43	350	7608
44	352	7489
45	355	7375
46	358	7266
47	361	7166
48	364	7065
49	366	6965
50	369	6868
51	371	6774
52	374	6686
53	377	6608
54	380	6533
55	382	6454
56	385	6376
57	388	6302
58	390	6230
59	393	6162
60	395	6094
61	398	6027
62	400	5962
63	403	5901
64	406	5840
65	408	5786
66	411	5731
67	414	5677
68	416	5622
69	419	5570
70	421	5518
71	424	5475
72	427	5431
73	430	5382
74	432	5336
75	435	5290
76	437	5246
77	440	5206
78	443	5166
79	445	5124
80	448	5083
81	450	5044
82	453	5006
83	455	4971
84	458	4934
85	460	4898
86	463	4864
87	466	4830
88	468	4796
89	472	4775
90	475	4754
91	479	4734
92	482	4705
93	486	4684
94	489	4659
95	492	4640
96	496	4624
97	500	4605
98	523	4760
99	529	4763
100	535	4763
101	541	4764
102	546	4760
103	552	4756
104	557	4748
105	562	4744
106	568	4741
107	573	4736
108	578	4729
109	583	4724
110	588	4716
111	594	4712
112	599	4708
113	605	4703
114	610	4695
115	615	4688
116	619	4679
117	624	4668
118	629	4660
119	634	4650
120	638	4639
121	643	4628
122	647	4615
123	651	4600
124	656	4592
125	660	4582
126	664	4565
127	667	4546
128	671	4534
129	674	4517
130	678	4501
131	681	4484
132	685	4469
133	689	4453
134	692	4439
135	696	4423
136	699	4409
137	703	4396
138	706	4379
139	710	4363
140	712	4343
141	715	4323
142	718	4306
143	721	4287
144	724	4269
145	726	4250
146	729	4234
147	732	4214
148	734	4196
149	737	4178
150	739	4159
151	742	4141
152	744	4123
153	747	4106
154	749	4088
155	752	4071
156	755	4054
157	757	4037
158	760	4020
159	762	4004
160	765	3988
161	767	3971
162	770	3955
163	772	3939
164	775	3924
165	778	3909
166	780	3894
167	783	3879
168	785	3864
169	788	3849
170	790	3834
171	793	3819
172	795	3804
173	798	3790
174	801	3776
175	803	3763
176	806	3748
177	808	3735
178	811	3721
179	814	3708
180	816	3695
181	819	3682
182	821	3668
183	824	3655
184	826	3642
185	829	3630
186	831	3616
187	834	3604
188	837	3592
189	839	3580
190	842	3567
191	844	3554
192	847	3542
193	849	3530
194	852	3519
195	855	3507
196	857	3495
197	859	3483
198	862	3471
199	865	3460
200	867	3448
201	870	3437
202	872	3425
203	875	3414
204	877	3403
205	880	3392
206	882	3381
207	885	3372
208	888	3361
209	890	3350
210	893	3339
211	895	3329
212	898	3318
213	900	3308
214	903	3298
215	905	3287
216	908	3277
217	910	3267
218	913	3256
219	915	3247
220	918	3237
221	921	3228
222	923	3218
223	926	3208
224	928	3198
225	931	3189
226	934	3181
227	936	3171
228	939	3162
229	941	3152
230	944	3143
231	946	3134
232	949	3126
233	952	3117
234	954	3108
235	957	3099
236	959	3090
237	962	3081
238	965	3072
239	967	3063
240	969	3054
241	972	3045
242	975	3037
243	977	3029
244	980	3020
245	982	3012
246	985	3004
247	987	2995
248	990	2988
249	993	2981
250	996	2972
251	999	2965
252	1001	2957
253	1004	2949
254	1006	2940
255	1009	2933
256	1011	2925
257	1014	2917
258	1016	2909
