iter	Passed	Remaining
0	2	2243
1	3	1537
2	3	1314
3	5	1364
4	7	1432
5	9	1491
6	10	1517
7	12	1556
8	14	1597
9	14	1468
10	15	1412
11	16	1348
12	17	1320
13	18	1316
14	20	1376
15	22	1374
16	23	1336
17	24	1360
18	26	1342
19	26	1309
20	27	1283
21	37	1687
22	39	1698
23	42	1712
24	43	1689
25	45	1707
26	47	1708
27	48	1678
28	49	1665
29	50	1635
30	55	1731
31	57	1727
32	58	1717
33	59	1691
34	60	1674
35	63	1694
36	64	1669
37	66	1683
38	68	1681
39	72	1730
40	74	1737
41	75	1723
42	76	1701
43	77	1680
44	78	1663
45	79	1643
46	80	1624
47	81	1606
48	82	1608
49	83	1591
50	84	1572
51	85	1553
52	86	1545
53	87	1527
54	88	1514
55	88	1498
56	89	1482
57	90	1466
58	91	1455
59	92	1448
60	93	1432
61	93	1417
62	94	1404
63	95	1391
64	95	1379
65	96	1366
66	97	1356
67	98	1345
68	98	1330
69	99	1320
70	100	1312
71	101	1303
72	101	1294
73	102	1285
74	103	1277
75	104	1268
76	105	1260
77	106	1253
78	107	1248
79	108	1245
80	109	1239
81	110	1232
82	110	1225
83	111	1219
84	112	1212
85	113	1207
86	114	1202
87	115	1196
88	116	1189
89	117	1184
90	117	1177
91	118	1171
92	119	1165
93	120	1159
94	120	1151
95	121	1144
96	122	1138
97	122	1132
98	123	1128
99	124	1121
100	125	1116
101	126	1110
102	126	1105
103	127	1100
104	128	1095
105	129	1090
106	130	1086
107	130	1081
108	131	1076
109	132	1071
110	133	1066
111	133	1058
112	134	1053
113	134	1048
114	135	1043
115	136	1038
116	136	1032
117	137	1028
118	138	1023
119	138	1019
120	139	1014
121	140	1010
122	141	1006
123	141	1002
124	143	1001
125	143	996
126	144	991
127	144	987
128	145	983
129	146	979
130	147	975
131	147	971
132	148	968
133	149	964
134	149	960
135	150	956
136	151	953
137	152	949
138	152	946
139	153	942
140	154	939
141	154	936
142	155	933
143	156	929
144	156	925
145	157	921
146	158	918
147	159	915
148	159	912
149	160	909
150	161	906
151	161	903
152	162	900
153	163	896
154	163	893
155	164	890
156	165	887
157	165	884
158	166	881
159	167	878
160	168	875
161	168	872
162	169	870
163	170	867
164	170	864
165	171	861
166	172	859
167	173	857
168	173	854
169	174	852
170	175	850
171	176	848
172	176	845
173	177	843
174	178	840
175	178	837
176	179	834
177	180	831
178	180	828
179	181	826
180	182	823
181	182	821
182	183	819
183	184	817
184	184	814
185	185	812
186	186	810
187	187	807
188	187	805
189	188	803
190	189	801
191	189	799
192	190	797
193	191	795
194	192	793
195	193	791
196	193	789
197	194	787
198	195	785
199	195	783
200	196	781
201	197	779
202	197	777
203	198	775
204	199	774
205	200	772
206	201	770
207	201	768
208	202	766
209	203	764
210	203	762
211	204	760
212	205	759
213	206	757
214	206	755
215	207	753
216	208	751
217	208	749
218	209	747
219	210	745
220	211	744
221	211	742
222	212	740
223	213	739
224	214	737
225	214	735
226	215	733
227	216	732
228	217	730
229	217	728
230	218	727
231	219	725
232	220	724
233	220	722
234	221	720
235	222	719
236	222	717
237	223	715
238	223	713
239	224	711
240	225	709
241	226	708
242	226	706
243	227	704
244	228	703
245	228	701
246	229	700
247	230	698
248	231	697
249	231	695
250	232	693
251	233	692
252	234	692
253	235	690
254	235	688
255	236	687
256	237	685
257	237	684
258	238	682
259	239	680
260	240	679
261	240	678
262	241	676
263	242	675
264	242	673
265	243	672
266	244	670
267	244	668
268	245	667
269	246	665
270	246	663
271	247	661
272	247	660
273	248	659
274	249	657
275	250	656
276	250	654
277	251	652
278	252	651
279	252	650
280	253	649
281	254	647
282	255	646
283	255	644
284	256	643
285	257	642
286	257	640
287	258	639
288	259	638
289	260	636
290	260	635
291	261	634
292	262	632
293	263	633
294	264	632
295	265	630
296	266	629
297	266	628
298	267	627
299	268	626
300	269	625
301	269	623
302	270	622
303	271	621
304	272	619
305	272	618
306	273	616
307	273	615
308	274	614
309	275	612
310	276	611
311	276	610
312	277	609
313	278	608
314	279	607
315	280	606
316	280	605
317	281	604
318	282	602
319	283	601
320	283	600
321	284	599
322	285	598
323	286	598
324	287	597
325	288	596
326	289	594
327	289	593
328	290	592
329	291	592
330	292	591
331	293	590
332	294	589
333	294	587
334	295	586
335	296	585
336	297	584
337	297	583
338	298	582
339	299	581
340	300	581
341	301	580
342	302	578
343	302	577
344	303	576
345	304	575
346	305	574
347	305	573
348	306	571
349	307	570
350	307	569
351	308	568
352	309	567
353	310	566
354	310	565
355	311	563
356	312	562
357	312	561
358	313	560
359	314	559
360	315	558
361	316	557
362	316	555
363	317	554
364	318	553
365	318	552
366	319	551
367	320	550
368	321	549
369	321	548
370	322	547
371	323	546
372	324	545
373	324	543
374	325	542
375	326	541
376	327	540
377	327	539
378	328	538
379	329	536
380	329	535
381	330	534
382	330	533
383	331	531
384	332	530
385	332	529
386	333	528
387	334	526
388	334	525
389	335	524
390	336	523
391	336	522
392	337	521
393	338	520
394	338	519
395	339	517
396	340	516
397	340	515
398	341	514
399	342	513
400	342	512
401	343	511
402	344	510
403	345	509
404	345	508
405	346	507
406	347	505
407	347	504
408	348	503
409	349	502
410	349	501
411	350	500
412	351	499
413	352	498
414	352	497
415	353	496
416	354	495
417	354	494
418	355	492
419	356	491
420	356	490
421	357	489
422	358	488
423	358	487
424	359	486
425	360	485
426	361	484
427	361	483
428	362	482
429	363	482
430	364	481
431	365	480
432	366	479
433	366	478
434	367	477
435	368	476
436	368	475
437	369	474
438	370	473
439	370	472
440	371	470
441	372	469
442	372	468
443	373	467
444	374	466
445	375	466
446	375	464
447	376	463
448	377	462
449	377	461
450	378	460
451	379	459
452	379	458
453	380	457
454	381	456
455	381	455
456	382	454
457	383	453
458	383	452
459	384	451
460	385	450
461	385	449
462	386	448
463	387	447
464	387	446
465	388	445
466	389	444
467	390	443
468	390	442
469	391	441
470	392	440
471	393	439
472	393	438
473	394	437
474	395	436
475	395	435
476	396	434
477	397	433
478	398	433
479	398	432
480	399	430
481	400	430
482	400	429
483	401	428
484	402	427
485	403	426
486	403	425
487	404	424
488	404	423
489	405	422
490	406	421
491	407	420
492	407	419
493	408	418
494	409	417
495	409	416
496	410	415
497	411	414
498	411	413
499	412	412
500	412	411
501	413	410
502	414	409
503	415	408
504	415	407
505	416	406
506	417	405
507	418	405
508	418	404
509	419	403
510	420	402
511	420	401
512	421	400
513	422	399
514	423	398
515	424	398
516	425	397
517	425	396
518	426	395
519	426	394
520	427	393
521	428	392
522	429	391
523	429	390
524	430	389
525	431	388
526	431	387
527	432	386
528	433	385
529	433	384
530	434	383
531	435	382
532	436	382
533	436	381
534	437	380
535	438	379
536	439	378
537	439	377
538	440	376
539	441	375
540	442	375
541	442	374
542	443	373
543	444	372
544	445	371
545	445	370
546	446	369
547	447	369
548	448	368
549	448	367
550	449	366
551	450	365
552	451	364
553	451	363
554	452	362
555	453	362
556	454	361
557	455	360
558	455	359
559	456	358
560	457	357
561	458	357
562	458	356
563	459	355
564	460	354
565	461	353
566	461	352
567	462	351
568	463	351
569	464	350
570	465	349
571	465	348
572	466	347
573	467	346
574	468	346
575	469	345
576	469	344
577	470	343
578	471	342
579	472	341
580	472	341
581	473	340
582	474	339
583	475	338
584	476	337
585	476	336
586	477	335
587	478	334
588	478	334
589	479	333
590	480	332
591	481	331
592	482	331
593	483	330
594	484	329
595	484	328
596	485	327
597	486	326
598	487	326
599	488	325
600	488	324
601	489	323
602	490	322
603	491	322
604	492	321
605	493	320
606	494	319
607	494	319
608	495	318
609	496	317
610	496	316
611	497	315
612	498	314
613	498	313
614	499	312
615	500	311
616	501	311
617	502	310
618	502	309
619	503	308
620	504	307
621	505	306
622	505	306
623	506	305
624	507	304
625	508	303
626	508	302
627	509	301
628	510	300
629	510	300
630	511	299
631	512	298
632	513	297
633	514	296
634	514	295
635	515	294
636	516	294
637	516	293
638	517	292
639	518	291
640	518	290
641	519	289
642	520	288
643	520	287
644	521	287
645	522	286
646	523	285
647	523	284
648	524	283
649	525	282
650	525	281
651	526	281
652	527	280
653	528	279
654	528	278
655	529	277
656	530	276
657	530	275
658	531	275
659	532	274
660	532	273
661	533	272
662	534	271
663	534	270
664	535	269
665	536	268
666	537	268
667	537	267
668	538	266
669	539	265
670	539	264
671	540	263
672	541	262
673	541	262
674	542	261
675	543	260
676	543	259
677	544	258
678	545	257
679	546	256
680	546	256
681	547	255
682	547	254
683	548	253
684	549	252
685	549	251
686	550	250
687	551	249
688	551	249
689	552	248
690	553	247
691	553	246
692	554	245
693	555	244
694	555	243
695	556	243
696	557	242
697	558	241
698	558	240
699	559	239
700	560	238
701	560	238
702	561	237
703	562	236
704	563	235
705	563	234
706	564	234
707	565	233
708	566	232
