iter	Passed	Remaining
0	178	178350
1	192	96219
2	206	68575
3	219	54617
4	231	45984
5	246	40918
6	256	36448
7	268	33293
8	281	31050
9	292	28950
10	303	27323
11	315	25973
12	326	24754
13	337	23754
14	349	22945
15	360	22186
16	370	21441
17	383	20897
18	394	20358
19	405	19845
20	416	19426
21	427	18999
22	438	18620
23	448	18246
24	457	17848
25	469	17592
26	481	17351
27	492	17085
28	504	16885
29	514	16647
30	528	16531
31	540	16355
32	552	16186
33	564	16037
34	574	15831
35	585	15686
36	596	15533
37	608	15408
38	619	15252
39	629	15114
40	640	14981
41	651	14861
42	663	14770
43	675	14686
44	686	14570
45	697	14473
46	709	14379
47	720	14281
48	730	14185
49	740	14073
50	755	14056
51	765	13948
52	776	13872
53	788	13807
54	799	13740
55	809	13647
56	821	13583
57	830	13493
58	842	13439
59	852	13361
60	863	13297
61	874	13236
62	886	13186
63	898	13136
64	909	13081
65	920	13032
66	933	13004
67	945	12960
68	958	12931
69	969	12876
70	979	12821
71	991	12780
72	1003	12739773	1014	12698774	1026	12663775	1037	12618776	1049	12579777	1061	12549778	1072	12499779	1083	12464880	1094	12415881	1108	12412882	1119	12366883	1129	12315884	1140	12274885	1153	12254886	1163	12209887	1173	12159888	1183	12118889	1193	12072990	1205	12041991	1215	11999992	1226	11965993	1237	11927994	1248	11892995	1259	11863996	1271	11836997	1283	11808998	1294	11784999	1305	117531100	1315	117071101	1325	116661102	1336	116411103	1347	116101104	1358	115831105	1370	115591106	1380	115241107	1390	114811108	1401	114581109	1412	114291110	1424	114051111	1436	113911112	1447	113611113	1458	113371114	1469	113081115	1479	112741116	1490	112481117	1502	112331118	1513	112071119	1524	111821120	1536	111641121	1549	111501122	1560	111281123	1570	110951124	1582	110751125	1594	110561126	1607	11047
127	1619	11032
128	1630	11008
129	1641	10985
130	1653	10969
131	1663	10938
132	1674	10915
133	1686	10897
134	1696	10869
135	1708	10854
136	1720	10835
137	1733	10828
138	1743	10799
139	1753	10773
140	1764	10751
141	1775	10730
142	1788	10720
143	1798	10691
144	1809	10670
145	1819	10645
146	1830	10624
147	1844	10615
148	1855	10598
149	1866	10574
150	1876	10553
151	1887	10531
152	1898	10512
153	1909	10490
154	1919	10465
155	1931	10448
156	1943	10437
157	1954	10417
158	1965	10396
159	1975	10373
160	1985	10349
161	1996	10328
162	2008	10311
163	2019	10292
164	2029	10270
165	2041	10255
166	2052	10236
167	2065	10227
168	2075	10207
169	2086	10185
170	2097	10168
171	2108	10148
172	2119	10133
173	2130	10114
174	2143	10104
175	2153	10084
176	2164	10066
177	2176	10048
178	2187	100321179	2198	100118180	2208	99918181	2219	99718182	2230	99518183	2241	99418184	2252	99218185	2263	99018186	2274	98818187	2285	98718188	2297	98518189	2308	98419190	2317	98119191	232192	219192	233193	219193	234194	219194	235195	219195	236196	219196	237197	219197	239198	219198	240199	219199	241200	220200	242201	220201	243202	220202	244203	220203	245204	220204	246205	220205	248206	220206	249207	220207	250208	220208	251209	220209	252210	221210	253211	221211	254212	221212	255213	221213	256214	221214	258215	221215	259216	221216	260217	221217	261218	221218	262219	221219	264220	222220	264221	222221	266222	222222	267223	222223	268224	222224	269225	222225	270226	222226	271227	222227	272228	222228	274229	222229	275230	223230	276231	223231	2777	91923232	2786	91723233	2799	91623234	2810	91423235	2820	91323236	2831	91123237	2842	91023238	2853	90823239	2865	90724240	2875	90524241	2886	90424242	2898	90224243	2909	90124244	2919	89924245	293246	224246	2943	89724247	2953	89524248	2966	89424249	2977	89325250	2987	89125251	2999	89025252	3009	88825253	3021	88725254	3033	88625255	3044	88425256	3057	88325257	3068	88225258	3079	88125259	3090	87926260	3103	8786
261	3114	8773
262	3124	8756
263	3137	8746
264	3150	8738
265	3160	8721
266	3171	8706
267	3182	8691
268	3194	8681
269	3204	8664
270	3216	8651
271	3226	8634
272	3237	8621
273	3248	8606
274	3260	8594
275	3272	8583
276	3282	8567
277	3294	8555
278	3307	8548
279	3318	8532
280	3328	8517
281	3338	8498
282	3349	8485
283	3360	8472
284	3371	8458
285	3382	8445
286	3395	8434
287	3405	8419
288	3417	8406
289	3428	8394
290	3439	8380
291	3450	8365
292	3460	8350
293	3471	8336
294	3483	8324
295	3494	8311
296	3506	8300
297	3517	8287
